# Gateway cycle attribution  9 runs, 4 workers x 4 clients
# RT_PRIORITY=0, governor=powersave, EXCHANGE_CPUSET=0-10, TESTER_CPUSET=11-15
# core map: GATEWAY_CORES=1,3,5,7 ENGINE_CORES=0,2,4,6 AUX_CORES=8,9,10
#
# __rdtscp measures ELAPSED cycles, not retired instructions: stalls, cache misses
# and preemption all land in these numbers. The previously published ~946 total was
# measured with the load generators competing for the same cores; nothing in the
# gateway changed between then and the 433 below.
#
# Allocate+Record+Push < Enqueue by construction whenever orders are rejected: the
# reject path (tcp_server.h:529) bumps enqueue without the three sub-counters, and
# this workload rejects 19-86%. The pool-exhaustion path (:543) bumps the order
# count with no cycle counters at all.
#
# stage             median    min    max
  epoll_wait()          41      4    101
  read()                41     39     48
  Decode                95     91    101
  Validation            17     16     22
  Enqueue (Sum)        228    204    265
  - Allocate            80     67     94
  - Record              19     17     23
  - Push                84     77    104
  Egress Drain          12     10     15
  Total/Order          433    398    500
#
# gateway idle ~87%, engine shards ~96% -- both waiting on the load generator.
# calibrated TSC 2.1118 cycles/ns across all 9 runs (invariant, so cycle deltas
# are real elapsed work rather than frequency scaling).
